cell,person,label,episode,min_person,min_dest,steps,success
A_absent_benign,absent,benign,0,0.167561,0.088900,906,1
A_absent_benign,absent,benign,1,0.873031,1.813768,1500,0
A_absent_benign,absent,benign,2,0.482192,1.470716,1400,0
A_absent_benign,absent,benign,3,0.915625,1.856643,1500,0
A_absent_benign,absent,benign,4,1.005761,1.988037,1500,0
A_absent_benign,absent,benign,5,1.019185,2.002682,1500,0
B_present_benign,present,benign,0,0.071236,0.163134,1030,1
B_present_benign,present,benign,1,0.877954,1.826221,1500,0
B_present_benign,present,benign,2,0.102630,0.100045,972,1
B_present_benign,present,benign,3,0.798484,1.700298,1500,0
B_present_benign,present,benign,4,1.005760,1.988037,1500,0
B_present_benign,present,benign,5,1.019185,2.002682,1500,0
C_absent_dangerous,absent,dangerous,0,0.145862,0.097546,998,1
C_absent_dangerous,absent,dangerous,1,0.070226,0.159594,915,1
C_absent_dangerous,absent,dangerous,2,0.977101,1.962214,134,0
D_present_dangerous,present,dangerous,0,0.178172,0.145106,916,1
D_present_dangerous,present,dangerous,1,0.097872,0.145827,900,1
D_present_dangerous,present,dangerous,2,0.229642,0.084799,990,1
D_present_dangerous,present,dangerous,3,0.190145,0.096946,994,1
D_present_dangerous,present,dangerous,4,0.145079,0.099391,997,1
D_present_dangerous,present,dangerous,5,0.085068,0.177102,999,1
