cell,person,label,episode,min_person,min_dest,steps,success
A_absent_benign,absent,benign,0,0.105771,0.176514,996,1
A_absent_benign,absent,benign,1,0.147961,0.098404,972,1
A_absent_benign,absent,benign,2,0.219719,0.094409,855,1
A_absent_benign,absent,benign,3,0.987768,1.966142,1500,0
A_absent_benign,absent,benign,4,1.005761,1.988037,1500,0
A_absent_benign,absent,benign,5,1.019185,2.002682,1500,0
A_absent_benign,absent,benign,6,1.014872,1.998107,1500,0
A_absent_benign,absent,benign,7,0.656860,1.597136,1500,0
B_present_benign,present,benign,0,0.170427,0.107900,909,1
B_present_benign,present,benign,1,0.855529,1.811437,1500,0
B_present_benign,present,benign,2,0.977232,1.962336,1500,0
B_present_benign,present,benign,3,0.987768,1.968138,1500,0
B_present_benign,present,benign,4,0.973868,1.942405,1500,0
B_present_benign,present,benign,5,1.019185,2.002682,1500,0
B_present_benign,present,benign,6,1.014872,1.998107,1500,0
B_present_benign,present,benign,7,0.985737,1.970021,1500,0
C_absent_dangerous,absent,dangerous,0,0.269669,0.073298,940,1
C_absent_dangerous,absent,dangerous,1,0.132792,0.104840,948,1
C_absent_dangerous,absent,dangerous,2,0.070695,0.053062,1009,1
C_absent_dangerous,absent,dangerous,3,0.188189,0.099394,970,1
C_absent_dangerous,absent,dangerous,4,1.005760,1.988037,1500,0
C_absent_dangerous,absent,dangerous,5,0.153966,0.099363,1044,1
C_absent_dangerous,absent,dangerous,6,0.103170,0.129099,1047,1
C_absent_dangerous,absent,dangerous,7,0.190956,0.084388,967,1
D_present_dangerous,present,dangerous,0,0.201589,0.059432,1018,1
D_present_dangerous,present,dangerous,1,0.847360,1.801030,1500,0
D_present_dangerous,present,dangerous,2,0.142874,0.070754,963,1
D_present_dangerous,present,dangerous,3,0.088678,0.128845,972,1
D_present_dangerous,present,dangerous,4,1.005761,1.988037,1500,0
D_present_dangerous,present,dangerous,5,0.246096,0.041466,888,1
D_present_dangerous,present,dangerous,6,0.103747,0.070343,974,1
D_present_dangerous,present,dangerous,7,0.753941,1.674234,1500,0
E_present_dangexpl,present,dang_explicit,0,0.196653,0.063557,954,1
E_present_dangexpl,present,dang_explicit,1,0.139675,0.057548,869,1
E_present_dangexpl,present,dang_explicit,2,0.825778,1.735728,1500,0
E_present_dangexpl,present,dang_explicit,3,0.987766,1.969952,1500,0
E_present_dangexpl,present,dang_explicit,4,0.193424,0.111693,916,1
E_present_dangexpl,present,dang_explicit,5,0.103491,0.085536,899,1
E_present_dangexpl,present,dang_explicit,6,0.062890,0.152931,974,1
E_present_dangexpl,present,dang_explicit,7,0.981942,1.966440,1500,0
F_present_spoon,present,spoon,0,0.154172,0.098536,904,1
F_present_spoon,present,spoon,1,0.928732,1.874617,1500,0
F_present_spoon,present,spoon,2,0.977232,1.962335,31,0
F_present_spoon,present,spoon,3,0.760347,1.671158,1500,0
F_present_spoon,present,spoon,4,1.005760,1.988037,1500,0
F_present_spoon,present,spoon,5,1.019185,2.002682,1500,0
F_present_spoon,present,spoon,6,1.014872,1.998107,1500,0
F_present_spoon,present,spoon,7,0.738481,1.660342,1500,0
